,from_node,to_node,edge_tt,edge_var,distance
,136276.0,136277.0,12.05,0.0,166.18
,136284.0,136285.0,11.03,0.0,131.58
,136286.0,136287.0,13.0,0.0,151.4
,136328.0,136329.0,2.69,0.0,32.69
,136330.0,136331.0,22.33,0.0,259.5
,136332.0,136333.0,19.19,0.0,126.22
,136334.0,136335.0,30.0,0.0,186.71
,136336.0,136337.0,7.5,0.0,57.63
,136340.0,136341.0,3.72,0.0,45.21
,136342.0,136343.0,21.08,0.0,256.52
,136344.0,136345.0,21.09,0.0,256.0
,136348.0,136349.0,4.66,0.0,34.47
,136352.0,136353.0,18.75,0.0,145.36
,136382.0,136383.0,5.34,0.0,55.68
,136384.0,136385.0,2.5,0.0,33.27
,136386.0,136387.0,8.64,0.0,113.61
,136388.0,136389.0,14.25,0.0,107.4
,136390.0,136391.0,26.46,0.0,168.34
,136392.0,136393.0,8.81,0.0,96.82
,136428.0,136429.0,3.32,0.0,36.99
,136432.0,136433.0,16.32,0.0,118.57
,136448.0,136449.0,12.89,0.0,175.85
,136456.0,136457.0,11.42,0.0,142.02
,136458.0,136459.0,6.37,0.0,50.08
,136460.0,136461.0,2.09,0.0,8.93
,136462.0,136463.0,9.18,0.0,72.54
,136464.0,136465.0,16.16,0.0,121.52
,136466.0,136467.0,22.22,0.0,104.47
,136468.0,136469.0,4.36,0.0,32.3
,136470.0,136471.0,12.78,0.0,94.74
,136486.0,136487.0,10.44,0.0,149.15
,136488.0,136489.0,0.03,0.0,0.2
,136490.0,136491.0,18.0,0.0,140.98
,136496.0,136497.0,5.24,0.0,46.23
,136540.0,136541.0,6.06,0.0,75.59
,136542.0,136543.0,31.13,0.0,223.09
,136552.0,136553.0,4.05,0.0,33.4
,136576.0,136577.0,13.7,0.0,102.77
,136578.0,136579.0,13.01,0.0,98.68
,136580.0,136581.0,10.41,0.0,77.53
,136588.0,136589.0,10.65,0.0,143.12
,136590.0,136591.0,24.09,0.0,304.76
,136592.0,136593.0,15.75,0.0,200.38
,136594.0,136595.0,9.45,0.0,70.02
,136600.0,136601.0,14.33,0.0,162.1
,136602.0,136603.0,18.55,0.0,216.37
,136650.0,136651.0,11.11,0.0,64.55
,136652.0,136653.0,13.36,0.0,126.77
,136658.0,136659.0,8.31,0.0,64.39
,136660.0,136661.0,17.57,0.0,227.34
,136662.0,136663.0,11.41,0.0,149.63
,136676.0,136677.0,22.72,0.0,212.62
,136688.0,136689.0,4.92,0.0,65.56
,136690.0,136691.0,29.08,0.0,228.49
,136726.0,136727.0,6.12,0.0,68.02
,136728.0,136729.0,6.37,0.0,61.05
,136732.0,136733.0,5.74,0.0,76.24
,136734.0,136735.0,2.56,0.0,4.61
,136746.0,136747.0,3.89,0.0,55.85
,136748.0,136749.0,4.54,0.0,10.28
,136760.0,136761.0,5.13,0.0,64.8
,136762.0,136763.0,7.87,0.0,84.37
,136764.0,136765.0,4.16,0.0,31.85
,136766.0,136767.0,29.42,0.0,572.04
,136772.0,136773.0,17.62,0.0,130.2
,136774.0,136775.0,36.12,0.0,503.32
,136776.0,136777.0,19.25,0.0,328.7
,136802.0,136803.0,9.1,0.0,52.84
,136808.0,136809.0,8.74,0.0,72.85
,136810.0,136811.0,18.92,0.0,158.06
,136814.0,136815.0,2.8,0.0,57.87
,136816.0,136817.0,,0.0,2.19
,136818.0,136819.0,,0.0,2.33
