from_node,to_node,edge_tt,distance,edge_var
6982.0,6983.0,18.16,128.15,0.0
6984.0,6985.0,41.37,295.29,0.0
6986.0,6987.0,40.88,326.17,0.0
7008.0,7009.0,30.55,241.54,0.0
7040.0,7041.0,23.65,206.64,0.0
7044.0,7045.0,11.45,143.82,0.0
7056.0,7057.0,19.68,133.02,0.0
7060.0,7061.0,16.66,128.57,0.0
7064.0,7065.0,9.16,83.27,0.0
7066.0,7067.0,22.44,167.88,0.0
7082.0,7083.0,2.25,23.48,0.0
7096.0,7097.0,16.51,131.28,0.0
7108.0,7109.0,5.09,73.02,0.0
7110.0,7111.0,17.63,225.91,0.0
7112.0,7113.0,8.9,120.48,0.0
7114.0,7115.0,8.27,112.32,0.0
7130.0,7131.0,36.24,261.88,0.0
7198.0,7199.0,16.38,136.12,0.0
7200.0,7201.0,24.6,206.51,0.0
7246.0,7247.0,15.29,94.31,0.0
7248.0,7249.0,7.79,89.04,0.0
7250.0,7251.0,10.44,120.18,0.0
7270.0,7271.0,11.73,77.66,0.0
7298.0,7299.0,5.49,35.92,0.0
7308.0,7309.0,21.01,167.49,0.0
7310.0,7311.0,20.65,151.86,0.0
7312.0,7313.0,15.95,101.17,0.0
7316.0,7317.0,8.34,66.44,0.0
7318.0,7319.0,2.38,16.52,0.0
7320.0,7321.0,2.84,21.84,0.0
7324.0,7325.0,22.32,152.53,0.0
7326.0,7327.0,9.11,61.37,0.0
7366.0,7367.0,8.82,81.3,0.0
7368.0,7369.0,8.63,82.57,0.0
7380.0,7381.0,21.77,166.39,0.0
7434.0,7435.0,12.58,88.78,0.0
