"simulation_index","MOD_demand_subset","fleet_size","network_name","rq_file","demand_name","vehtype","objective_function","evaluation_int_start","evaluation_int_end","random_seed","start_time","end_time","op_module","op_init_veh_distribution","network_type","sim_env","sumo_t_update","sumo_fcd_vehicles","rerouting_sc","hybrid_router","p_ref","reliable_tt_det","f_det","reliable_tt_prob","k_quantile","sim_declined_rq","rtt_corr_add","op_max_wait_time","routing_behavior_scenario","op_const_boarding_time","routing_behavior_scenario2","Simulated?"
"68","0.05","100","sumo_example_static_cf_1.8","sumo_example_s_00_0.05.csv","sumo_example_s_00_0.05","FP_pooling_vehtype","total_system_time","1800","5400","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","0","","0","","ignore","0","300","","30","","1"
"69","0.05","100","sumo_example_static_cf_2.0","sumo_example_s_00_0.05.csv","sumo_example_s_00_0.05","FP_pooling_vehtype","total_system_time","1800","5400","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","0","","0","","ignore","0","300","","30","","1"
"70","0.05","100","sumo_example_mean_s_0-4","sumo_example_s_00_0.05.csv","sumo_example_s_00_0.05","FP_hailing_vehtype","total_system_time","1800","5400","0","0","7200","PoolingIRSOnlyOfferAdjustment","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","1","1","0","","ignore","0","300","","30","","1"
"71","0.05","100","sumo_example_mean_s_0-4","sumo_example_s_00_0.05.csv","sumo_example_s_00_0.05","FP_hailing_vehtype","total_system_time","1800","5400","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","1","1.05","0","","ignore","0","300","","30","","1"
"72","0.05","100","sumo_example_mean_s_0-4","sumo_example_s_00_0.05.csv","sumo_example_s_00_0.05","FP_hailing_vehtype","total_system_time","1800","5400","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","1","1.1","0","","ignore","0","300","","30","","1"
"73","0.05","100","sumo_example_mean_s_0-4","sumo_example_s_00_0.05.csv","sumo_example_s_00_0.05","FP_hailing_vehtype","total_system_time","1800","5400","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","1","1.15","0","","ignore","0","300","","30","","1"
"74","0.05","100","sumo_example_mean_s_0-4","sumo_example_s_00_0.05.csv","sumo_example_s_00_0.05","FP_hailing_vehtype","total_system_time","1800","5400","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","1","1.2","0","","ignore","0","300","","30","","1"
"75","0.05","100","sumo_example_mean_s_0-4","sumo_example_s_00_0.05.csv","sumo_example_s_00_0.05","FP_hailing_vehtype","total_system_time","1800","5400","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","1","1.25","0","","ignore","0","300","","30","","1"
"76","0.05","100","sumo_example_mean_s_0-4","sumo_example_s_00_0.05.csv","sumo_example_s_00_0.05","FP_hailing_vehtype","total_system_time","1800","5400","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","1","1.35","0","","ignore","0","300","","30","","1"
"77","0.05","100","sumo_example_mean_s_0-4","sumo_example_s_00_0.05.csv","sumo_example_s_00_0.05","FP_hailing_vehtype","total_system_time","1800","5400","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","1","1.4","0","","ignore","0","300","","30","","1"
